OBJECTID,Subbasin,MEAN
1,1,0.431309904153355
2,2,0.273814549036162
3,3,0.517458286689056
4,4,0.609016161043380
5,5,0.670388268621896
6,6,0.567862387245647
7,7,0.556397365998725
8,8,0.490494296577947
9,9,0.202666666666667
10,10,0.424623115577889
11,11,0.594257606954930
12,12,0.158180669614656
13,13,0.502617801047120
14,14,0.380990161853380
15,15,0.616134340323193
16,16,0.666486193827829
17,17,0.189479334406871
18,18,0.491990324494546
19,19,0.740943168077388
20,20,0.610918774966711
21,21,0.587692307692308
22,22,0.553665910808768
23,23,0.598218435321456
24,24,0.390881395831891
25,25,0.591096886819901
26,26,0.383562385023266
27,27,0.439960386234216
28,28,0.634018899388549
29,29,0.424591617069773
30,30,0.481530634815306
31,31,0.464057664433737
32,32,0.637480608129072
33,33,0.590373280943026
34,34,0.514616155177124
35,35,0.850228310502283
36,36,0.709588554163334
37,37,0.537087168381159
38,38,0.482041587901701
39,39,0.527356476800359
40,40,0.581980284140331
41,41,0.748231511254019
42,42,0.673521850899743
43,43,0.446222916260004
44,44,0.537440497986086
45,45,0.772054088860270
46,46,0.429257429187835
47,47,0.677180629400776
48,48,0.728029602220167
49,49,0.609163346613546
50,50,0.797115262422163
51,51,0.502916488831982
52,52,0.630054741303196
53,53,0.844905320108206
54,54,0.747928994082840
55,55,0.354242300387084
56,56,0.655134873593807
57,57,0.401039255029068
58,58,0.625550660792952
59,59,0.235181485181485
60,60,0.537698412698413
61,61,0.709513759233704
62,62,0.168918918918919
63,63,0.684586391588970
64,64,0.186429291232785
65,65,0.250350226617223
66,66,0.142065909720299
67,67,0.612194877951180
68,68,0.508946230624166
69,69,0.271252501843464